,filename,stone_class,class_level_1,class_level_2,filetype,SUR,SEC,type_image,class_number,y_pred,y_true,correct
111,IIIa_SUR_2.png,IIIa,III,a,png,True,False,SUR,3,Other,Other,1
72,IIIa_SEC_3.png,IIIa,III,a,png,False,True,SEC,3,Other,Other,1
56,Ia_SEC_18.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
66,Id_SEC_4.png,Id,I,d,png,False,True,SEC,3,Other,Other,1
17,IIIb_SUR_6.jpg,IIIb,III,b,jpg,True,False,SUR,2,Other,IIIb,0
52,Id_SUR_1.png,Id,I,d,png,True,False,SUR,3,Other,Other,1
144,Ic_SEC_1.png,Ic,I,c,png,False,True,SEC,3,Other,Other,1
188,IIIb_SUR_11.jpg,IIIb,III,b,jpg,True,False,SUR,2,IIIb,IIIb,1
142,IVa2_SUR_1.png,IVa2,IV,a2,png,True,False,SUR,3,Other,Other,1
115,IIa_SEC_1.png,IIa,II,a,png,False,True,SEC,3,Other,Other,1
190,IIIb_SEC_9.jpg,IIIb,III,b,jpg,False,True,SEC,2,IIIb,IIIb,1
173,IIb_SUR_22.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
0,Ie_SEC_3.png,Ie,I,e,png,False,True,SEC,3,Other,Other,1
20,Ia_SEC_19.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
152,IIb_SUR_4.jpg,IIb,II,b,jpg,True,False,SUR,1,IIb,IIb,1
42,IIIb_SUR_4.jpg,IIIb,III,b,jpg,True,False,SUR,2,Other,IIIb,0
112,Ia_SEC_24.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
9,Ia_SUR_18.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
79,Ia_SEC_15.jpg,Ia,I,a,jpg,False,True,SEC,0,Ia,Ia,1
33,Ia_SUR_24.jpg,Ia,I,a,jpg,True,False,SUR,0,Ia,Ia,1
140,Va_SUR_5.png,Va,V,a,png,True,False,SUR,3,Other,Other,1
